,Employee_ID,Name,Join_Date,City,Department,Salary,Year_Joined
0,25795,Nuwan Gunawardena,2022-04-01,Jaffna,HR,73200.0,2022
1,10860,Rashmi Karunaratne,2024-04-01,Colombo,FINANCE,59800.0,2024
2,86820,Nuwan Jayasinghe,2021-12-01,Kandy,FINANCE,59500.0,2021
3,64886,Ruwan Perera,2019-12-01,Colombo,FINANCE,77600.0,2019
4,16265,Ruwan Rathnayake,2019-06-01,Jaffna,IT,88750.0,2019
5,92386,Tharushi Perera,2021-07-01,Jaffna,MARKETING,144700.0,2021
6,47194,Nadeesha Gunawardena,2020-02-01,Jaffna,HR,138200.0,2020
7,97498,Tharushi De Alwis,2022-10-01,Jaffna,HR,68000.0,2022
8,54131,Nuwan Perera,2022-02-01,Jaffna,IT,61900.0,2022
9,70263,Sajith Gunawardena,2018-04-01,Galle,HR,54000.0,2018
10,26023,Dinusha Karunaratne,2016-12-01,Galle,FINANCE,143600.0,2016
11,51090,Tharushi Gunawardena,2015-04-01,Colombo,MARKETING,147800.0,2015
12,77221,Janith Karunaratne,2016-12-01,Jaffna,OPERATIONS,119400.0,2016
13,74820,Nuwan Karunaratne,2022-04-01,Colombo,HR,70700.0,2022
14,10769,Dinusha Karunaratne,2021-11-01,Jaffna,FINANCE,88750.0,2021
15,69735,Nuwan Jayasinghe,2017-10-01,Jaffna,OPERATIONS,88750.0,2017
16,72955,Ruwan Perera,2019-11-01,Galle,MARKETING,88750.0,2019
17,74925,Kasun Perera,2025-08-01,Galle,OPERATIONS,88750.0,2025
18,77969,Ishara Rathnayake,2018-06-01,Kandy,FINANCE,143000.0,2018
19,15311,Ruwan Karunaratne,2017-10-01,Galle,OPERATIONS,138600.0,2017
20,93104,Sajith Bandara,2023-05-01,Kandy,IT,125300.0,2023
21,63707,Malsha Silva,2022-06-01,Kandy,OPERATIONS,107400.0,2022
22,95305,Kasun Jayasinghe,2023-01-01,Kandy,HR,53200.0,2023
23,38693,Sajith Perera,2025-01-01,Kandy,HR,88500.0,2025
24,81932,Thilini Silva,2019-07-01,Kandy,IT,50400.0,2019
25,35658,Thilini Perera,2021-03-01,Colombo,FINANCE,88750.0,2021
26,94478,Ishara Karunaratne,2023-02-01,Galle,HR,139000.0,2023
27,28431,Janith De Alwis,2018-12-01,Kandy,MARKETING,94400.0,2018
28,12747,Ruwan Rathnayake,2021-03-01,Jaffna,HR,85700.0,2021
29,69150,Dinusha Fernando,2022-04-01,Galle,HR,133000.0,2022
30,75725,Tharushi Silva,2020-01-01,Galle,FINANCE,87800.0,2020
31,94654,Kasun Perera,2021-12-01,Kandy,OPERATIONS,84900.0,2021
32,45773,Tharushi Rathnayake,2015-09-01,Colombo,HR,57300.0,2015
33,77435,Sajith Bandara,2021-11-01,Kandy,IT,94800.0,2021
34,66886,Nuwan Rathnayake,2024-10-01,Colombo,OPERATIONS,121100.0,2024
35,76803,Ishara Rathnayake,2019-12-01,Jaffna,MARKETING,118400.0,2019
36,41551,Malsha Rathnayake,2016-09-01,Galle,FINANCE,88750.0,2016
37,21394,Rashmi Perera,2023-11-01,Jaffna,MARKETING,64300.0,2023
38,79092,Janith Gunawardena,2023-08-01,Colombo,OPERATIONS,50700.0,2023
39,13890,Ishara Rathnayake,2022-04-01,Colombo,OPERATIONS,116200.0,2022
40,51606,Kasun Jayasinghe,2019-05-01,Jaffna,OPERATIONS,88750.0,2019
41,90038,Nuwan Karunaratne,2016-08-01,Colombo,MARKETING,88750.0,2016
42,97313,Ruwan Gunawardena,2020-02-01,Jaffna,OPERATIONS,74400.0,2020
43,20627,Ishara Fernando,2025-06-01,Galle,MARKETING,88750.0,2025
44,18792,Chamari Rathnayake,2015-12-01,Jaffna,OPERATIONS,132600.0,2015
45,83969,Malsha Bandara,2018-12-01,Galle,IT,82300.0,2018
46,53001,Kasun Bandara,2016-03-01,Jaffna,OPERATIONS,55400.0,2016
47,86552,Ruwan Silva,2018-02-01,Colombo,MARKETING,88750.0,2018
48,33897,Tharushi Perera,2018-06-01,Jaffna,HR,88750.0,2018
49,78148,Suresh Karunaratne,2025-09-01,Colombo,OPERATIONS,147200.0,2025
50,33483,Nuwan Jayasinghe,2017-04-01,Jaffna,HR,110500.0,2017
51,58555,Nuwan Gunawardena,2015-04-01,Jaffna,IT,51000.0,2015
52,27159,Nuwan Bandara,2018-03-01,Kandy,FINANCE,88750.0,2018
53,90077,Suresh De Alwis,2021-11-01,Colombo,IT,61100.0,2021
54,45920,Tharushi Fernando,2021-11-01,Kandy,OPERATIONS,59300.0,2021
55,77121,Sajith Jayasinghe,2024-11-01,Colombo,HR,124400.0,2024
56,79479,Nuwan Bandara,2021-04-01,Kandy,HR,56800.0,2021
57,99475,Rashmi De Alwis,2019-06-01,Galle,MARKETING,98100.0,2019
58,29457,Dinusha Fernando,2021-02-01,Jaffna,HR,122500.0,2021
59,76557,Sajith Silva,2015-05-01,Colombo,MARKETING,88750.0,2015
60,87189,Sajith Gunawardena,2022-09-01,Colombo,FINANCE,88750.0,2022
61,88953,Ishara Bandara,2017-02-01,Jaffna,OPERATIONS,89000.0,2017
62,62995,Janith Gunawardena,2016-07-01,Colombo,MARKETING,138800.0,2016
63,50757,Dinusha Silva,2022-07-01,Colombo,FINANCE,133400.0,2022
64,19692,Suresh Fernando,2023-09-01,Kandy,HR,104600.0,2023
65,55758,Janith Bandara,2021-03-01,Colombo,HR,63800.0,2021
66,82409,Nadeesha Fernando,2018-09-01,Galle,FINANCE,133200.0,2018
67,81211,Thilini Karunaratne,2020-09-01,Galle,HR,107800.0,2020
68,75697,Malsha Silva,2024-01-01,Jaffna,FINANCE,51300.0,2024
69,47065,Rashmi Karunaratne,2024-02-01,Colombo,MARKETING,85900.0,2024
70,42606,Rashmi Silva,2020-11-01,Jaffna,MARKETING,84500.0,2020
71,21534,Sajith Silva,2018-06-01,Galle,FINANCE,76700.0,2018
72,50397,Nadeesha Bandara,2025-04-01,Colombo,MARKETING,105100.0,2025
73,11016,Chamari Perera,2025-10-01,Colombo,MARKETING,65400.0,2025
74,99789,Suresh Gunawardena,2019-11-01,Jaffna,MARKETING,54700.0,2019
75,65591,Nuwan Rathnayake,2018-01-01,Galle,IT,53700.0,2018
76,99812,Nadeesha De Alwis,2023-03-01,Colombo,OPERATIONS,88750.0,2023
77,33247,Sajith Karunaratne,2024-09-01,Jaffna,HR,88750.0,2024
78,34300,Sajith Rathnayake,2017-03-01,Galle,IT,88750.0,2017
79,84065,Malsha Bandara,2022-06-01,Jaffna,MARKETING,102200.0,2022
80,92798,Suresh Bandara,2016-03-01,Kandy,FINANCE,130200.0,2016
81,19268,Kasun Jayasinghe,2022-08-01,Colombo,MARKETING,149500.0,2022
82,96807,Dinusha Perera,2022-02-01,Kandy,OPERATIONS,73900.0,2022
83,22185,Nadeesha Rathnayake,2020-06-01,Galle,MARKETING,117600.0,2020
84,73704,Rashmi Karunaratne,2023-02-01,Kandy,FINANCE,88750.0,2023
85,96779,Rashmi Silva,2015-07-01,Kandy,OPERATIONS,84600.0,2015
86,49099,Chamari Fernando,2018-12-01,Galle,MARKETING,70500.0,2018
87,18571,Chamari Bandara,2020-11-01,Jaffna,OPERATIONS,111600.0,2020
88,48044,Chamari Silva,2025-12-01,Kandy,HR,141300.0,2025
89,61214,Ishara Bandara,2021-06-01,Jaffna,HR,121700.0,2021
90,71228,Chamari Silva,2017-05-01,Kandy,MARKETING,88400.0,2017
91,58984,Janith Gunawardena,2023-03-01,Jaffna,OPERATIONS,102700.0,2023
